n   error 
373   1.36067135063558773837870759817341463E-0003
374   1.32016996044698857347046843385907279E-0003
375   1.31024323968144495413783294137530722E-0003
376   1.32324534026119444105360243055552736E-0003
377   1.31840524154590023702601600740223445E-0003
378   1.29405147351791055009120991647550606E-0003
379   1.30407061596361901517751479128176224E-0003
380   1.29616063787553967285682081801919429E-0003
381   1.31545048971967436270040158089511461E-0003
382   1.30463728197090394309958507883592431E-0003
383   1.28766424419718178076485407750783651E-0003
384   1.27328272163158136725800359638950013E-0003
385   1.27801402130798022780153486463756551E-0003
386   1.32338927453360241487670013124050744E-0003
387   1.28261916264614595426367786561806735E-0003
388   1.29148962525578041491320543141648909E-0003
389   1.28048154644262077692072200704192486E-0003
390   1.28607431503650874602366167808208184E-0003
391   1.25274795414616625062891090488371141E-0003
392   1.27884619232758165895929126389048822E-0003
393   1.27653643886567632986177558056862928E-0003
394   1.27719913412375061020905071149601393E-0003
395   1.26176284433281634529623129762908638E-0003
396   1.27292955239634543652527608506250216E-0003
397   1.26815433707435066791690499086114138E-0003
398   1.27135415921554558682948019431196428E-0003
399   1.26011748721230028103145727385550275E-0003
400   1.23842819800263321993260393160614987E-0003
401   1.25625075933057814836502075195313380E-0003
402   1.23859790437383926506136661152603247E-0003
403   1.23350358083429710483973558750283097E-0003
404   1.25914357803255356846175504917369006E-0003
405   1.22388282269313376378269829407426597E-0003
406   1.22239231849377419850099851692289829E-0003
407   1.21258995015035024990218882565475452E-0003
408   1.22436411788683837788975888140167612E-0003
409   1.23283244900701525279165735065087203E-0003
410   1.20307694382061149464835616406206807E-0003
411   1.22174772593496918040042402913072525E-0003
412   1.21608829866586886344796438162569112E-0003
413   1.23115391442071141155245436924504517E-0003
414   1.22613947554860262293811391485999615E-0003
415   1.21625758202489124757383508986502073E-0003
416   1.20724886387320540089412738491615768E-0003
417   1.20937992177508253405785419531830241E-0003
418   1.19360429259091481138047211736007390E-0003
419   1.13954645745416646944603496755957574E-0003
420   1.17124883070919006420729580092083705E-0003
421   1.20181713019901054516400880013467633E-0003
422   1.20392446751514978565552226834240534E-0003
423   1.17462555130773001005700922958058735E-0003
424   1.18669446439518618074273665233052174E-0003
425   1.19356746092942984620206676033646403E-0003
426   1.16978188351982605086065906141868480E-0003
427   1.18993271419101831194044312979056433E-0003
428   1.14663676346806862357037660383581952E-0003
429   1.17208909282635050430517757248180214E-0003
430   1.16163420791670720286447077508798975E-0003
431   1.14642974896897426355587849428743452E-0003
432   1.14501364945287803577288772918396194E-0003
433   1.13982179947740389404637005757566277E-0003
434   1.15868805228943544091606564355941588E-0003
435   1.18429585861637813372718224358063932E-0003
436   1.13453507453546741078372108115750071E-0003
437   1.13703460685604493903567941288547985E-0003
438   1.13374792075170773822471268242493446E-0003
439   1.12180775711525909144214100327775186E-0003
440   1.12518879971485249502736126742966267E-0003
441   1.12634018015439722163618103531764446E-0003
442   1.13902876188105667465715001662279096E-0003
443   1.11659961443951450336653356243025793E-0003
444   1.12134275042925374088248768992536902E-0003
445   1.12567129840369260492054694910806551E-0003
446   1.09849400990950069468425629852608613E-0003
447   1.09437342461907758620525126066087895E-0003
448   1.10155727583286963404604620068417059E-0003
449   1.07145810991879647635683721425579570E-0003
450   1.12078566780284625652613960015700664E-0003
451   1.10425171816468606760472427179783887E-0003
452   1.10143435982563960796083528552050526E-0003
453   1.09071140814463460125184878829463811E-0003
454   1.07979420140326519494937161910996826E-0003
455   1.09735101806673483956007966804793057E-0003
456   1.09672594817404534819333136707900586E-0003
457   1.09456162117001686271574725441362081E-0003
458   1.07573781471722361424436073720953312E-0003
459   1.07817734725284878979972056208110097E-0003
460   1.10351320594317825997064919367880153E-0003
461   1.07642557683254685428958308719282924E-0003
462   1.05629045696126819052376655295979491E-0003
463   1.08831953579421936868068636233332824E-0003
464   1.07461786977364423707423621586785200E-0003
465   1.06865845785496200520133291782010863E-0003
466   1.07722541487154753611451394986053264E-0003
467   1.07048846062917948717762601845705936E-0003
468   1.07696326842815294339167516884589039E-0003
469   1.07050176262785454377759512263785984E-0003
470   1.08017600579095522440541899996973312E-0003
471   1.06607287107166214839750525637311754E-0003
472   1.05081485249676255106242975155908679E-0003
473   1.03671453603969004537072273480141569E-0003
474   1.05726845747308058883403527450477468E-0003
475   1.05317473195488379712131878324929338E-0003
476   1.03583690984241685048364866473339300E-0003
477   1.07344491244009308252333921275316059E-0003
478   1.02274783967494688488451706035960295E-0003
479   1.04858976520424260451357454101682100E-0003
480   1.03794416472903447654516927273444711E-0003
481   1.03781116023633836044205559624565387E-0003
482   1.03244139175016432147177937782431738E-0003
483   1.00034976611342806085505204510995353E-0003
484   1.03424485215868613359679164585360323E-0003
485   1.02664692230596675319787575144817965E-0003
486   1.01730561994161872152238688315372630E-0003
487   1.02738351471662255382797865785331991E-0003
488   1.04195659553048620930944204162568177E-0003
489   1.00888077529790257853354474800438113E-0003
490   1.02369051944471159706825790677434874E-0003
491   1.00474759386111514759977277940830615E-0003
492   9.96916284780772902730460846957256921E-0004
493   1.00361666346585784461778929074546804E-0003
494   9.92769431073016002845050814325888611E-0004
495   9.85351907803220543266368542640776593E-0004
496   1.02345175692676105203464096656272273E-0003
497   9.96096085376759388258256227491289387E-0004
498   1.01589702872541488654889287822319991E-0003
499   1.00341465039844253451933282200084324E-0003
500   1.03016312888746015499904169796882810E-0003
501   9.97341436058282852172851562499971456E-0004
502   1.00996298389510618910896882165065213E-0003
503   9.86880879407179063090169106783809799E-0004
504   9.85400539983157624687959334728426580E-0004
505   9.79825397182861847521886924076608431E-0004
506   9.92716043516876662248443732155569852E-0004
507   1.00011443974181552714670091254256759E-0003
508   9.95883318192590807325382755862617616E-0004
509   9.87635768191225240542312291899973910E-0004
510   9.80424449674138347144803844375625692E-0004
511   9.83164749134751591761265292345491980E-0004
512   9.42276091762004487049868100989337206E-0004
513   9.65940014793886803090572357177734375E-0004
514   1.00510880275833615054732501567731021E-0003
515   9.71750774354687726431411733692150564E-0004
516   9.95885728468553309099469044193007189E-0004
517   9.82950661044885595754164141048700446E-0004
518   1.01035342511098748449324112934933411E-0003
519   9.65941887868322590091528067731915649E-0004
520   9.10586154698655437726296586564199993E-0004
521   9.63257487795106273078354152702039281E-0004
522   9.91967802672194623463527337338893182E-0004
523   9.80408222975970288867586166971634483E-0004
524   9.90403098886659199972132383336459125E-0004
525   9.54238092494231651076750352133813364E-0004
526   9.65142753601597955708060405151643920E-0004
527   9.46062060793359441998760852820071037E-0004
528   9.33709580411304969701477186815879470E-0004
529   9.82730055756341405999671438618261322E-0004
530   9.04040783993499738349508191007342160E-0004
531   9.57645511501009521980054779976212571E-0004
532   9.01078638201666816416747009566770503E-0004
533   9.24051661681145555128364621214774120E-0004
534   9.47049315707580143805753874666036943E-0004
535   9.48226368020911709632783102713968965E-0004
536   9.30663835251109549463841683771493208E-0004
537   9.23748748554817221828068941200906455E-0004
538   9.49050726288680041746911655678402140E-0004
539   9.46497461732864454840630586545902187E-0004
540   9.36038617861973552499086669132796388E-0004
541   9.14033237758152626342407142837988189E-0004
542   9.52987784310884329747590144738977543E-0004
543   9.18252989038029870940060516264767610E-0004
544   9.35034037063012488430939409511558312E-0004
545   9.46881802318372786251318908480218090E-0004
546   9.33345882120544501461070471465729718E-0004
547   8.96291703258309954743045644682459542E-0004
548   8.94150687001388064576913914518659002E-0004
549   8.99705922597300443266175984637674006E-0004
550   9.16466655703198057380332593532992214E-0004
551   9.11457236370548975369161810756714692E-0004
552   9.20034509784152198207942587925347704E-0004
553   8.91671488223907652584301075798128338E-0004
554   8.70285658113309128550800134016961050E-0004
555   9.02086781487164535563974214315758374E-0004
556   9.16743568256911606614866985069976198E-0004
557   8.80733019161555266492602852435907333E-0004
558   8.75950026483265747564792305686337149E-0004
559   8.52960743521116348992678497373652537E-0004
560   8.83205729178508198997046383701368264E-0004
561   8.81973466953519275602029294383755595E-0004
562   8.82366942472709129922849918713965852E-0004
563   8.69640725426877330084179547436305554E-0004
564   8.83522288252665127111122347470783558E-0004
565   8.90645189961636993889957119249204173E-0004
566   8.75269422765722900468000408551726209E-0004
567   8.90631508435224639895936091227925341E-0004
568   8.76973892017884873126597900007130680E-0004
569   8.79635213870654742447210431832036942E-0004
570   9.12721004114494558760857543136567891E-0004
571   8.53455209506634896848707354666834292E-0004
